what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606830964016
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606830964313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606830989887
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606830992192
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606830992314
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831022913
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831025683
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606831025770
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1606831039295
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831041499
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831043039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831048421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831051031
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606831051124
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.activateEditor",1606831060064
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606831079964
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606831086473
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1606831133520
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606831137176
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606831246911
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606831256585
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606831273611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831279217
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831289131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831300118
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831305355
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1606831306855
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831312001
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831322550
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1606831324253
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606831398289
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831424863
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831467073
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831488529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831495608
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1606831495687
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606831495718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831505506
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831519710
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1606831670336
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606831765265
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606831768141
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831773931
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831779072
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606831782263
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1606831796625
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606831804406
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606831808866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831811446
